name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
maker-tig00000012_pilon-exonerate_est2genome-gene-0.7-mRNA-1:7	32.0378336418965	5.24223831259322	1.32381577560272	3.95994549181626	7.49668726912055e-05	0.00128891319737362
maker-tig00000012_pilon-exonerate_est2genome-gene-1.62-mRNA-1:3	28.2405058958849	-3.28478468064274	1.28527549327313	-2.55570474799732	0.0105972994991318	0.0729808498655679
maker-tig00000012_pilon-exonerate_est2genome-gene-1.64-mRNA-1:2	19.9947487897418	-3.10127089797681	1.40123376946683	-2.21324304734452	0.0268808937522354	0.141678790960514
maker-tig00000012_pilon-exonerate_est2genome-gene-1.64-mRNA-1:3	859.081237108295	-4.21575518233777	0.848721497503316	-4.96718322175091	6.7932399160711e-07	2.11694338884566e-05
maker-tig00000012_pilon-exonerate_est2genome-gene-1.64-mRNA-1:4	58.057033553023	-3.65482298543627	1.14959147695089	-3.17923632761276	0.00147663645148432	0.0152749156578855
maker-tig00000012_pilon-exonerate_est2genome-gene-1.64-mRNA-1:6	299.418253875086	-3.89928391045248	0.886522294726586	-4.3984047932546	1.09049445040937e-05	0.000236400231727875
maker-tig00000012_pilon-exonerate_est2genome-gene-1.64-mRNA-1:7	587.762193517283	-3.51648750712324	0.856708067907243	-4.10465085932163	4.04925960493056e-05	0.000776523399622454
maker-tig00000012_pilon-exonerate_est2genome-gene-1.66-mRNA-1:2	7.3439991901911	-6.15170973429917	2.76317783735117	-2.22631697864091	0.0259929570012183	0.139656124577666
maker-tig00000012_pilon-exonerate_est2genome-gene-1.68-mRNA-1:1	11.2566739328286	-4.29921365022368	2.11824841168948	-2.02960787153132	0.042396414150158	0.192171382684262
maker-tig00000012_pilon-exonerate_est2genome-gene-11.69-mRNA-1:1	8.56297630411895	4.07540928775037	1.87582945016823	2.17259052382661	0.0298111497365135	0.152920156981745
maker-tig00000012_pilon-exonerate_est2genome-gene-12.76-mRNA-1:1	154.556654370177	-1.89468084243524	0.950829105631651	-1.99266180558973	0.0462984924041151	0.204649187169253
maker-tig00000012_pilon-exonerate_est2genome-gene-12.91-mRNA-1:1	17.1259825166735	4.22035246764865	1.57912129952859	2.67259549276458	0.00752669488493336	0.0563484995439606
maker-tig00000012_pilon-exonerate_est2genome-gene-12.91-mRNA-1:4	19.2150516372691	3.39438754406656	1.34362626867432	2.52628846518134	0.011527478581928	0.077252699206308
maker-tig00000012_pilon-exonerate_est2genome-gene-14.32-mRNA-1:2	42.6166969523916	4.93631442858326	1.37998977808475	3.57706593699137	0.000347472547435833	0.00479312884215274
maker-tig00000012_pilon-exonerate_est2genome-gene-15.1-mRNA-1:1	7.50029792816667	5.21444240944467	2.19222345951925	2.37860898112466	0.0173780991367689	0.103644978822883
maker-tig00000012_pilon-exonerate_est2genome-gene-17.100-mRNA-1:3	34.188930683449	-2.68418583178087	1.36525970275349	-1.96606244684973	0.0492913976104706	0.21186802455673
